,secID,ticker,secShortName,exchangeCD,tradeDate,consID,consTicker,consName,consExchangeCD,quantity,cashSubsSign,CashRatio,fixedCahsAmount
1033,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-04-01,601328.XSHG,601328,交通银行,XSHG,12500,1,10,
1034,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-04-01,601336.XSHG,601336,新华保险,XSHG,400,1,10,
1035,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-04-01,601390.XSHG,601390,中国中铁,XSHG,3700,1,10,
1036,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-04-01,601398.XSHG,601398,工商银行,XSHG,9800,1,10,
1037,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-04-01,601601.XSHG,601601,中国太保,XSHG,1400,1,10,
1038,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-04-01,601628.XSHG,601628,中国人寿,XSHG,800,1,10,
1039,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-04-01,601668.XSHG,601668,中国建筑,XSHG,9600,1,10,
1040,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-04-01,601688.XSHG,601688,华泰证券,XSHG,2000,1,10,
1041,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-04-01,601766.XSHG,601766,中国中车,XSHG,4400,1,10,
1042,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-04-01,601818.XSHG,601818,光大银行,XSHG,7300,1,10,
1043,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-04-01,601857.XSHG,601857,中国石油,XSHG,4400,1,10,
1044,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-04-01,601888.XSHG,601888,中国国旅,XSHG,400,1,10,
1045,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-04-01,601939.XSHG,601939,建设银行,XSHG,3100,1,10,
1046,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-04-01,601988.XSHG,601988,中国银行,XSHG,9600,1,10,
1047,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-04-01,601989.XSHG,601989,中国重工,XSHG,4200,1,10,
1048,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-04-01,603259.XSHG,603259,药明康德,XSHG,300,1,10,
1049,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-04-01,603993.XSHG,603993,洛阳钼业,XSHG,3200,1,10,
1050,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-31,600000.XSHG,600000,浦发银行,XSHG,5300,1,10,
1051,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-31,600009.XSHG,600009,上海机场,XSHG,400,1,10,
1052,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-31,600016.XSHG,600016,民生银行,XSHG,11300,1,10,
1053,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-31,600028.XSHG,600028,中国石化,XSHG,6100,1,10,
1054,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-31,600030.XSHG,600030,中信证券,XSHG,3900,1,10,
1055,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-31,600031.XSHG,600031,三一重工,XSHG,2700,1,10,
1056,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-31,600036.XSHG,600036,招商银行,XSHG,4700,1,10,
1057,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-31,600048.XSHG,600048,保利地产,XSHG,3300,1,10,
1058,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-31,600050.XSHG,600050,中国联通,XSHG,4300,1,10,
1059,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-31,600104.XSHG,600104,上汽集团,XSHG,1600,1,10,
1060,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-31,600196.XSHG,600196,复星医药,XSHG,500,1,10,
1061,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-31,600276.XSHG,600276,恒瑞医药,XSHG,1400,1,10,
1062,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-31,600309.XSHG,600309,万华化学,XSHG,700,1,10,
1063,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-31,600340.XSHG,600340,华夏幸福,XSHG,500,1,10,
1064,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-31,600519.XSHG,600519,贵州茅台,XSHG,200,1,10,
1065,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-31,600547.XSHG,600547,山东黄金,XSHG,500,1,10,
1066,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-31,600585.XSHG,600585,海螺水泥,XSHG,900,1,10,
1067,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-31,600690.XSHG,600690,海尔智家,XSHG,1700,1,10,
1068,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-31,600703.XSHG,600703,三安光电,XSHG,1100,1,10,
1069,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-31,600837.XSHG,600837,海通证券,XSHG,3700,1,10,
1070,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-31,600887.XSHG,600887,伊利股份,XSHG,2800,1,10,
1071,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-31,601012.XSHG,601012,隆基股份,XSHG,1200,1,10,
1072,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-31,601066.XSHG,601066,中信建投,XSHG,200,1,10,
1073,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-31,601088.XSHG,601088,中国神华,XSHG,1500,1,10,
